Kode Produk,Barcode,Nama Produk,Kategori,Vendor,PIC,Satuan,UOM DC,UOM Store,Konversi Store
LB4684,,DOUBLE TAPE BESAR JL,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1241,5801241,DOUBLE TAPE KECIL,Oprasional,DC PACKAGING,M ROISUL ANAM,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB6934,4902430894699,DOWNY FLORAL PINK 22ML,Kebutuhan,PT. BORWITA CITRA PRIMA,ADITYA,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1693,,DOWNY FLORAL PINK 700ml,Kebutuhan,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 8.00 PCS,8
LB1272,,DOWNY FLORAL PINK 8ML,Kebutuhan,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB6933,4902430557122,DOWNY SUNRISE 24ML,Kebutuhan,PT. BORWITA CITRA PRIMA,ADITYA,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1273,,DOWNY SUNRISE 8ML,Kebutuhan,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1692,,DOWNY SUNRISE FRESH 700ml,Kebutuhan,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 8.00 PCS,8
LB7041,,DUO PACK,Grosir,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 6.00 PCS,6
LB3984,,DURIAN FROZEN PREMIUM,Frozen food,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB4467,,DURIAN MONTONG FROZEN,Frozen food,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB1360,,EGG ROLL COKELAT NGUDI ROSO,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1359,,EGG ROLL KACANG HIJAU NGUDI ROSO,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1357,5801357,EGG ROLL KETELA UNGU NGUDI ROSO,Snack,NGUDI ROSO,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1362,,EGG ROLL MELON NGUDI ROSO,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1142,5801142,EGG ROLL NGUDI ROSO WALUH,Snack,NGUDI ROSO,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1361,,EGG ROLL PANDAN NGUDI ROSO,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1364,,EGG ROLL PISANG NGUDI ROSO,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1363,5801363,EGG ROLL STROBERRY NGUDI ROSO,Snack,NGUDI ROSO,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB3796,,EGG TRAY TELUR,Alat,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1595,8998866200981,EKOMIE 100GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB4775,8998866204101,EKOMIE BAKSO 825gr,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 6.00 PCS,6
LB5643,18998866203262,EKOMIE MIE GORENG 60GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB5793,8998866611701,EKONOMI PENCUCI PIRING JERUK NIPIS POUCH 122ml,Kebutuhan,PT INTI NIAGA PRANASARI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0445,,EMPING JAGUNG ASIN 2.5 KG,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 2.50 KG,2.5
LB3520,,EMPING JAGUNG PEDAS MANIS 2.5KG,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 2.50 KG,2.5
LB6292,,ENAK ECO BUMBU SATE AYAM 185G,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1684,8996001440049,ENERGEN COKLAT 35gr RENTENG,Snack,BI PT. CIPTA NIAGA SEMESTA BJN,MIFTAKHUR ROZI,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 10.00 PCS,10
LB1685,,ENERGEN KACANG HIJAU 32gr RENTENG,Snack,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 10.00 PCS,10
LB1810,,ENERGEN VANILA 34GR RENTENG,Snack,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 10.00 PCS,10
LB5087,,ENTROSTOP OBAT DIARE,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 20.00 PCS,20
LB1409,,ER ARUMANIS BOX 250gr,Seasonal,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 5.00 PCS,5
LB1047,,ER BOX MAKARONI SPIRAL BALADO 300GR,Seasonal,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 5.00 PCS,5
LB1003,,ER BOX MAKARONI USUS BALADO 300GR,Seasonal,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 5.00 PCS,5
LB1004,,ER BOX MIE LIDI MIX 330gr,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 5.00 PCS,5
LB1381,,ER MAKARONI SPIRAL BALADO KECIL,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1383,,ER MAKARONI SPIRAL BBQ KECIL,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0119,,ER MAKARONI SPIRAL BESAR BALADO,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0120,5800120,ER MAKARONI SPIRAL KECIL ORIGINAL,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1384,,ER MAKARONI SPIRAL PEDAS BESAR,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1382,,ER MAKARONI SPIRAL PEDAS KECIL,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1387,,ER MAKARONI USUS BALADO KECIL,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1391,,ER MAKARONI USUS BBQ BESAR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 10.00 PCS,10
LB1389,,ER MAKARONI USUS BBQ KECIL,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 10.00 PCS,10
LB0117,5800117,ER MAKARONI USUS BESAR BALADO,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0118,,ER MAKARONI USUS KECIL ORIGINAL,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1390,,ER MAKARONI USUS PEDAS BESAR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 10.00 PCS,10
LB1388,,ER MAKARONI USUS PEDAS KECIL,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1392,5801392,ER MIE LIDI BALADO KECIL,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1394,5801394,ER MIE LIDI BBQ KECIL,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0121,5800121,ER MIE LIDI BESAR BALADO,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB2237,,ER MIE LIDI BESAR BBQ,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0122,5800122,ER MIE LIDI KECIL ORIGINAL,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB1426,,ER MIE LIDI PEDAS BESAR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 10.00 PCS,10
LB1393,5801393,ER MIE LIDI PEDAS KECIL,Snack,ER SNACK,DANANG IMAM SANTOSO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB6592,,ESKRIM TOPING NEAPOLITAN,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 150.00 PCS,150
LB6591,,ESKRIM TOPING VANILLA,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 150.00 PCS,150
LB5125,,EXTRAJOSS ACTIVE 4GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0126,8992761002039,FANTA,Minuman,COCA COLA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB6661,,FANTA FRUIT PUNCH 1L,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB6657,,FANTA STROBERI 1L,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0960,,FANTASY APEL,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0959,,FANTASY JERUK,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0958,,FANTASY LECI,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0956,,FANTASY STRAWBERRY NANAS,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0955,,FANTASY SUSU COKLAT,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB5154,,FERMIPAN 44GR,Sembako,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 4.00 PCS,4
LB5813,8997219760592,FESTIVAL BALADO 200GR,Snack,CV PUTRA SINAR TERANG,PRASETYO PAMBUDI,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 10.00 PCS,10
LB0904,,FESTIVAL CEREAL RASA COKELAT 250gr,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 10.00 PCS,10
LB3850,,FIBE MINI 100ml,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0281,8993207571683,FIESTA FRENCH FRIES 500gr,Frozen food,PT JERINDO JAYA ABADI,PRASETYO PAMBUDI,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3385,,FIESTA READY TO GO BAKSO BBQ,Frozen food,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB3384,,FIESTA READY TO GO SIOMAY,Frozen food,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB7042,8993207230313,FIESTA READY TO GO SPICY KOREAN SAUCE,Frozen food,REJEKI PANGAN SUKSES,PRASETYO PAMBUDI,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB2672,8993207223131,FIESTA SOSIS READY TO GO ORIGINAL,Frozen food,REJEKI PANGAN SUKSES,PRASETYO PAMBUDI,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB1633,8992826211017,FILMA MARGARIN 200GR,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0127,,FITBAR CHOCO DELIGHT 22GR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0128,,FITBAR FRUITS DELIGHT 22GR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB2313,,FITBAR TIRAMISU DELIGHT 22GR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB6206,8992982800315,FLOATY ORI 60gr,Snack,CV ANDHIKA,PRASETYO PAMBUDI,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB6928,18992982800497,FLOATY TERSERAH 60gr,Snack,CV ANDHIKA,PRASETYO PAMBUDI,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB0129,8998866202923,FLORIDINA COCO,Minuman,PT INTI NIAGA PRANASARI BJN,ADITYA,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0852,8998866500708,FLORIDINA ORANGE,Minuman,PT INTI NIAGA PRANASARI BJN,ADITYA,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1639,8992946520587,FORVITA MARGARINE 200GR,Sembako,UD BINTANG ANUGRAH,M MUJAHIDIN,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0130,8886013223207,FRENCH FRIES,Snack,PT. Semestanustra Distrindo,M KHOIRUL UMAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 20.00 PCS,20
LB4642,8994834003950,FRENCH FRIES 15GR,Snack,PT. Semestanustra Distrindo,M KHOIRUL UMAM,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 60.00 PCS,60
LB0886,,FRENCH FRIES LEVEL 3 60GR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 20.00 PCS,20
LB4650,,FRESHCARE GREEN TEA 10ML,Kebutuhan,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB4649,,FRESHCARE HOT STRONG 10ML,Kebutuhan,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0134,,FRESHTEA MADU,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0135,,FRESHTEA MARKISA,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0131,8992761166212,FRESTEA APEL + LEMONGRASS,Minuman,COCA COLA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0853,8992761166052,FRESTEA MELATI + LECI,Minuman,COCA COLA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0137,8992753182008,FRISIAN FLAG 110 MILKY COKLAT,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0138,8992753184002,FRISIAN FLAG 110 MILKY STRAWBERI,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0139,8992753182206,FRISIAN FLAG 180 MILKY COKLAT,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0140,8992753184200,FRISIAN FLAG 180 MILKY STRAWBERI,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0141,8992753700103,FRISIAN FLAG 225 COCONUT DELIGTH,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0142,,FRISIAN FLAG 225 FULL CREAM,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0143,,FRISIAN FLAG 225 KACANG HIJAU,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0144,,FRISIAN FLAG 225 KETAN HITAM,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0145,8992753033737,FRISIAN FLAG 225 STRAWBERI,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0891,,FRISIAN FLAG 225 SWEET DELIGHT,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0146,8992753033720,FRISIAN FLAG 225 SWISS CHOCO,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB0147,8992753102204,FRISIAN FLAG KALENG COKLAT,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0148,8992753101207,FRISIAN FLAG KALENG PUTIH,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0597,,FRISIAN FLAG POUCH 545ml COKLAT,Minuman,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0617,,FRISIAN FLAG POUCH 545ml PUTIH,Minuman,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0424,8992753721580,FRISIAN FLAG POUCH COKLAT 240gr,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5366,8992753721597,FRISIAN FLAG POUCH CREAMY KENTAL MANIS 240GR,Minuman,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0787,,FRISIAN FLAG POUCH PUTIH 260gr,Minuman,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1817,8992753031894,FRISIAN FLAG PUTIH KENTAL MANIS RENTENG 37GR,Sembako,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB2180,8992753102303,FRISIAN FLAG RENTENG COKLAT 37GR,Sembako,CV. TRIJAYA SENTOSA - BOJONEGORO,EKO SUYANTO,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB0961,,FROZEN,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 36.00 PCS,36
LB3750,,FROZEN OBRAL,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0149,8996006858085,FRUIT TEA APPLE,Minuman,COCA COLA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0150,8996006858160,FRUIT TEA BLACKCURRANT,Minuman,COCA COLA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1119,,FRUIT TEA FREEZE,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1132,,FRUIT TEA LEMON,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0732,,FRUIT TEA MARKISA,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1077,,FRUIT TEA STRAWBERRY,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0152,,GALIPAT KRUPUK KENTANG,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0151,,GALIPAT KRUPUK TENGIRI,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0153,,GALIPAT STIK BAWANG,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0154,,GALIPAT STIK TAHU,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0115,5800115,GALON KONSUMSI,Oprasional,AMDK,M ROISUL ANAM,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB6240,8994063102790,GANDARIA EP600,Sembako,PT ANUGERAH PRIMA MANUNGGAL,ADITYA,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB6241,8994063102806,GANDARIA EPB600,Sembako,PT ANUGERAH PRIMA MANUNGGAL,ADITYA,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB0776,,GAPIT CAP BINTANG,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 14.00 PCS,14
LB0830,5800830,GAPIT GULUNG BOLO DEWE,Grosir,BOLO DEWE,SITI THOIRUL MAQULAH,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 20.00 PCS,20
LB7596,5807596,GAPIT JOWO,Grosir,GAPIT JOWO,SITI THOIRUL MAQULAH,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 20.00 PCS,20
LB0848,5800848,GAPIT KETAN KELAPA MUDA 100GR,Snack,DARWANTO,DANANG IMAM SANTOSO,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 18.00 PCS,18
LB0849,5800849,GAPIT KETAN KELAPA MUDA 90GR,Snack,DARWANTO,DANANG IMAM SANTOSO,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 18.00 PCS,18
LB0354,,GAPIT KETAN MANEKO RAOS,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB0156,5800156,GAPIT LINTING KELAPA MUDA BESAR,Snack,DARWANTO,DANANG IMAM SANTOSO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0157,5800157,GAPIT LINTING KELAPA MUDA KECIL,Snack,DARWANTO,DANANG IMAM SANTOSO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 15.00 PCS,15
LB2173,,GARAM CAP AYAM 250GR,Sembako,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB2178,8993111212504,GARAM CAP JEMPOL 250GR,Sembako,PT. UNICHELL MAKMUR INDONESIA,AGUS PURNOMO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB2179,8993111215000,GARAM CAP JEMPOL 500GR,Sembako,PT. UNICHELL MAKMUR INDONESIA,AGUS PURNOMO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB2671,8991045124559,GARAM CAP SEGI TIGA G 250 GRAM,Sembako,UD BINTANG ANUGRAH,M MUJAHIDIN,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB1911,,GARAM CERDIK 250GR,Sembako,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB1991,,GARAM GARAMI 200GR,Sembako,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB1632,8993111112507,GARAM KAPAL 250GR,Sembako,PT SUBUR MITRA SUKSES,AGUS PURNOMO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB1700,8993111115003,GARAM KAPAL 500GR,Sembako,PT SUBUR MITRA SUKSES,AGUS PURNOMO,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 20.00 PCS,20
LB8117,,GARDENIA GLOW 9ML,Kebutuhan,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 48.00 PCS,48
LB7852,8991380700029,GARNIER BRIGHT COMPLETE FACE WASH 100ML,Kebutuhan,PT UNIRAMA DUTA NIAGA,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7884,8992304015298,GARNIER MEN ACNOFIGHT 100ML,Kebutuhan,PT UNIRAMA DUTA NIAGA,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7885,8992304099167,GARNIER MEN OILCONTROL 100ML,Kebutuhan,PT UNIRAMA DUTA NIAGA,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7853,8992304047152,GARNIER SAKURA GLOW FACE WASH 100ML,Kebutuhan,PT UNIRAMA DUTA NIAGA,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4588,,GAS LPG 3KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5116,,GATSBY HYPER SOLID LEVEL 7 5GR,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 24.00 PCS,24
LB5652,,GAYUNG BUAH CALISTA,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4959,,GELAS OLALA TUTUL 200ML,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB7658,,GEMEZ ENAAK 22GR,Snack,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 60.00 PCS,60
LB4641,8992775005132,GERY SEREAL PILLOW COKLAT 24GR,Snack,CV LANGGENG JAYA SENTOSA,M MUJAHIDIN,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 60.00 PCS,60
LB0775,,GETHUK LONDO ANEKA RASA,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0774,,GETHUK LONDO ORIGINAL,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4141,,GETHUK LONDO ORIGINAL 250GR,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4691,,GILLETTE BLUE 2 FLEXI,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7903,8998866609777,GIV WHITE BENGKUANG 400ML,Kebutuhan,PT INTI NIAGA PRANASARI BJN,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7900,4897144700936,GLAD2GLOW GLYCOLIC ACID 70g,Kebutuhan,PT UNIRAMA DUTA NIAGA,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7901,4897144700929,GLAD2GLOW NIACINAMIDE 70g,Kebutuhan,PT UNIRAMA DUTA NIAGA,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
