Kode Produk,Barcode,Nama Produk,Kategori,Vendor,PIC,Satuan,UOM DC,UOM Store,Konversi Store
LB4701,8991188943376,SASA MICIN 220GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB8027,,SASA MICIN 25KG,Sembako,,,DUS,1.00 KARUNG : 1.00 KARUNG,1.00 KARUNG : 1.00 KARUNG,1
LB2154,,SASA MICIN 38 GR,Sembako,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 20.00 PCS,20
LB4702,8991188943031,SASA MICIN 5GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 30.00 PCS,30
LB2182,8991188943369,SASA MICIN 85GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3625,8991188943536,SASA SANTAN 65ML,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 32.00 PCS,32
LB1998,8992736925165,SASA TEPUNG BUMBU AYAM KRISPI 200GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1626,8992736925134,SASA TEPUNG BUMBU ORIGINAL 210GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1611,8992736980133,SASA TEPUNG BUMBU SERBAGUNA 70GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1999,,SASA TEPUNG BUMBU SERBAGUNA ORIGINAL 32GR,Sembako,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 10.00 PCS,10
LB1627,8992736025162,SASA TEPUNG GORENG PISANG 210GR,Sembako,PT. TUMBAKMAS NIAGASAKTI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1678,,SASA TEPUNG SERBAGUNA 35GR,Sembako,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 10.00 PCS,10
LB4956,,SCOTCH BRITE SPON RENTENG,Kebutuhan,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 12.00 PCS,12
LB0889,,SEBLAK KENCUR JEDEPE 2.7 kg,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 2.70 KG,2.7
LB1350,,SEBLAK MBAK UNA EXTRA PEDAS,Snack,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0642,,SEBLAK MBAK UNA ORIGINAL,Snack,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1349,,SEBLAK MBAK UNA PEDAS MANIS,Snack,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1386,,SEBLAK SOTO IJO 2KG,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 2.00 KG,2
LB5030,8998866203708,SEDAAP BUMBU KALDU RASA AYAM 9GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 18.00 PCS,18
LB5031,8998866203739,SEDAAP BUMBU KALDU RASA SAPI 9GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 18.00 PCS,18
LB0674,,SEDANI MAKARONI PIPA 1KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1951,,SEDANI MAKARONI SPIRAL 1KG,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 10.00 KG,10
LB1597,8998866608008,SEDAP KECAP MANIS 135ML,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5026,8998866608045,SEDAP KECAP MANIS 250GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB1594,,SEDAP KECAP MANIS 63ML,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 48.00 PCS,48
LB3462,8998866608084,SEDAP KECAP MANIS 700g,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB3458,8998866608039,SEDAP KECAP MANIS 77GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 48.00 PCS,48
LB1593,8998866202305,SEDAP KECAP MANIS SPECIAL 135ML,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1596,,SEDAP KECAP MANIS SPECIAL 60ML,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 48.00 PCS,48
LB3459,8998866202275,SEDAP KECAP MANIS SPECIAL 77GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 48.00 PCS,48
LB1726,,SEDAP KECAP MANIS SPECIAL REFILL 550GR + PIRING KERAMIK,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB3457,8998866202268,SEDAP KECAP MANIS SPECIAL REFILL 725GR + PIRING KERAMIK,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB5025,8998866202299,SEDAP KECAP MANIS SPESIAL 270GR,Sembako,PT INTI NIAGA PRANASARI,AGUS PURNOMO,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB3703,,SEDOTAN BENING 6ml,Oprasional,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 1.00 BALL,1
LB4190,,SEDOTAN BUBLE STRAW 8ml,Oprasional,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 20.00 PACK,20
LB4143,,SEDOTAN CMS 6ml NEW,Oprasional,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 1.00 DUS,1
LB6433,,SEDOTAN STERIL CMS 500,Oprasional,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 500.00 PCS,500
LB4261,,SENDOK KCS BENING,Oprasional,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 1.00 DUS,1
LB3914,,SENDOK NOBI WARNA,Oprasional,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 1.00 DUS,1
LB3557,,SENDOK SALAD,Oprasional,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 80.00 PACK,80
LB5033,,SENDOK TEH BENING TIPTOP,Oprasional,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 1.00 DUS,1
LB5055,,SENNA DELUXE KRUPUK UDANG 500GR,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1599,8992950342144,SENNA KRUPUKKU KRUPUK BAWANG 200GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5054,8992950342113,SENNA KRUPUKKU KRUPUK BAWANG 400GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1600,8992950342137,SENNA KRUPUKKU KRUPUK IKAN 200GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5052,8992950342106,SENNA KRUPUKKU KRUPUK IKAN 400GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1601,8992950342120,SENNA KRUPUKKU KRUPUK UDANG 200GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5053,8992950342090,SENNA KRUPUKKU KRUPUK UDANG 400GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB6436,,SENTER KEPALA SURYA SYH L155C,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB6435,,SENTER SURYA L4W 3COB,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0476,,SGM ANANDA 0-6 1000GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0543,,SGM ANANDA 0-6 150GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0480,,SGM ANANDA 0-6 400GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0598,,SGM ANANDA 6-12 1000GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0482,,SGM ANANDA 6-12 150GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0479,,SGM ANANDA 6-12 400GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0492,,SGM EKSPLOR 1+ 150GR MADU,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0483,,SGM EKSPLOR 1+ 150GR VANILLA,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0481,,SGM EKSPLOR 1+ 400GR,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0477,,SGM EKSPLOR 1+ 900GR VANILLA,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1267,8999999529833,SHAMPOO CLEAR MENTHOL 9ML,Kebutuhan,UD. SANUR BOJONEGORO,M MUJAHIDIN,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1268,8999999529819,SHAMPOO CLEAR SOFTCARE 9ML,Kebutuhan,UD. SANUR BOJONEGORO,M MUJAHIDIN,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1306,,SHAMPOO LIFEBUOY BOTOL BIRU 170ML,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1304,,SHAMPOO LIFEBUOY BOTOL BIRU 70+21ML,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1307,,SHAMPOO LIFEBUOY BOTOL HIJAU 170ML,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1305,,SHAMPOO LIFEBUOY BOTOL HIJAU 70+21ML,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1715,4902430563864,SHAMPOO PANTENE ANTI DANDRUFF 10ML,Kebutuhan,PT. BORWITA CITRA PRIMA,ADITYA,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1334,,SHAMPOO PANTENE ANTI DANDRUFF BOTOL 130ml,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1337,,SHAMPOO PANTENE ANTI DANDRUFF BOTOL 70ml,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1335,,SHAMPOO PANTENE HAIR FALL BOTOL 130ml,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1336,,SHAMPOO PANTENE HAIR FALL BOTOL 70ml,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1716,4902430563871,SHAMPOO PANTENE HAIR FALL CONTROL 10ML,Kebutuhan,PT. BORWITA CITRA PRIMA,ADITYA,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1270,4902430563888,SHAMPOO PANTENE LONG BLACK 10ML,Kebutuhan,PT. BORWITA CITRA PRIMA,ADITYA,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB1271,4902430563895,SHAMPOO PANTENE SMOOTH 10ML,Kebutuhan,PT. BORWITA CITRA PRIMA,ADITYA,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 1.00 RENTENG,1
LB6155,,SHINZUI KIRE180,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7907,8992946523533,SHINZUI KIREY 380g,Kebutuhan,CV MITRA SEJATI DISTRIBUSI,ADITYA,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB6156,,SHINZUI MATS180,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7941,,SHINZUI MYORI 380g,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB7944,,SHINZUI SAKURA 380g,Kebutuhan,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3285,,SIIPLAH APEL 120ml,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 1.00 BOX,1
LB3690,5803690,SIISUKA BASRENG STIK ORIGINAL,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3689,5803689,SIISUKA BASRENG STIK PEDAS,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3671,5803671,SIISUKA BIDARAN KEJU,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3688,5803688,SIISUKA CHOCO CRUNCH COKLAT,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3676,5803676,SIISUKA EMPING JAGUNG,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3681,5803681,SIISUKA EMPING PEDAS MANIS,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3691,5803691,SIISUKA KACANG OVEN,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3687,,SIISUKA KACANG SANGRAI,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3692,5803692,SIISUKA KACANG TELUR,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3685,5803685,SIISUKA KENTANG UDANG MINI,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB6178,5806178,SIISUKA KERIPIK GETHUK,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB5558,5805558,SIISUKA KERIPIK SINGKONG MADURA,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB5559,5805559,SIISUKA KERIPIK SINGKONG MADURA PEDAS,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB7079,5807079,SIISUKA KERIPIK UBI UNGU,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3669,5803669,SIISUKA KERUPUK KULIT SAPI,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3668,5803668,SIISUKA KERUPUK TAHU,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3670,5803670,SIISUKA KERUPUK TENGIRI,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
LB3696,5803696,SIISUKA KORO BALADO,Grosir,DC GROSIR & REPACKING,SITI THOIRUL MAQULAH,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 12.00 PCS,12
